Locality,Avg_Price,Avg_Price_Per_Sqft,Avg_Carpet_Area,Avg_Metro_Distance,Avg_Luxury_Score
Malabar Hill,80658657.67284991,69257.27993254637,1167.239460370995,28.252951096121418,4.811129848229342
Breach Candy,78662297.11375213,65879.60950764007,1193.886247877759,23.062818336162987,4.932088285229202
Cuffe Parade,77768920.06525286,66784.92495921697,1167.5073409461663,8.265905383360522,4.853181076672104
Walkeshwar,74177044.40789473,64380.94407894737,1150.4720394736842,29.463815789473685,4.865131578947368
BKC (Bandra-Kurla),72800948.5049834,61757.51328903654,1171.5980066445184,8.89202657807309,4.8604651162790695
Worli,72458575.70715474,62703.63560732113,1155.0349417637271,9.198003327787022,4.856905158069884
Marine Drive,70839432.8358209,60446.21227197347,1171.888888888889,20.58872305140962,4.91044776119403
Pedder Road,70584609.91735537,61607.58842975207,1150.0462809917356,21.932231404958678,4.798347107438016
Bandra West,63443546.57293497,54108.88049209139,1170.6485061511423,29.339191564147626,4.961335676625659
Prabhadevi,61338107.92580101,51828.15008431703,1184.7757166947724,11.040472175379426,4.959527824620573
Juhu,57089033.2103321,49284.88745387454,1153.8081180811807,28.27859778597786,4.911439114391144
Khar West,53267512.152777776,45014.975694444445,1176.657986111111,27.96527777777778,4.854166666666667
Nariman Point,49250310.051107325,56666.3594548552,870.488926746167,14.984667802385008,4.206132879045996
Mahalaxmi,45382890.163934425,50342.44754098361,908.0524590163934,9.385245901639344,4.167213114754098
Colaba,43743111.87607573,49748.81755593804,883.3356282271945,26.0447504302926,4.259896729776248
Tardeo,39268968.01346801,47329.732323232325,833.3484848484849,22.57239057239057,4.158249158249158
Lower Parel,35484119.658119656,43866.78632478633,807.0,22.157264957264957,1.1384615384615384
Santacruz West,34350203.125,41289.791666666664,833.28125,9.038194444444445,1.1979166666666667
Parel,31871231.03448276,37390.88965517242,854.7275862068966,25.867241379310343,1.2793103448275862
Dadar West,30295715.24288107,34920.979899497484,865.4556113902847,7.432160804020101,1.2227805695142377
Bandra East,30219412.162162162,35526.70945945946,853.8192567567568,21.469594594594593,1.179054054054054
Vile Parle West,29332283.630470015,34566.18476499189,842.9141004862237,22.983792544570502,1.2123176661264181
Andheri West,25303324.758842442,28872.118971061092,877.4228295819936,19.485530546623796,1.270096463022508
Byculla,24956212.218649518,30228.453376205787,827.2025723472669,25.655948553054664,1.135048231511254
Wadala,24542552.721088436,29528.756802721087,827.9302721088435,9.302721088435375,1.1870748299319729
Dadar East,23835026.687598117,27657.978021978022,869.0910518053375,19.416012558869703,1.218210361067504
Matunga,23625253.012048192,27691.530120481926,852.8055077452668,23.370051635111874,1.2013769363166953
Versova,23205670.436187398,27806.143780290793,837.3941841680129,8.224555735056542,1.18578352180937
Mazgaon,23031450.406504065,26729.970731707315,857.5463414634146,25.339837398373984,1.1609756097560975
Santacruz East,22725357.382550336,26303.137583892618,860.9496644295302,21.308724832214764,1.1208053691275168
Vile Parle East,22604376.470588237,26161.638655462186,867.6571428571428,19.749579831932774,1.2067226890756302
Lokhandwala,21293360.544217687,25565.818027210884,833.1853741496599,16.33503401360544,1.1428571428571428
Powai,21215770.382695507,25178.18801996672,839.3044925124792,25.101497504159735,1.2013311148086523
Sewri,20914621.669627,24147.218472468918,866.8827708703375,31.99467140319716,1.2397868561278864
Sion,20846907.80141844,24448.59219858156,855.0212765957447,27.21631205673759,1.1808510638297873
Oshiwara,19357459.866220735,22818.617056856187,854.0635451505017,24.37458193979933,1.160535117056856
Andheri East,17923697.391304348,21461.513043478262,836.528695652174,6.902608695652174,1.1860869565217391
Kurla West,17151711.9205298,19587.104304635763,880.2615894039735,10.165562913907285,1.228476821192053
Ghatkopar West,16569352.136752136,19174.641025641027,865.2239316239317,7.483760683760684,1.2820512820512822
Chembur,15317696.869851729,18081.932454695223,847.2322899505766,36.601317957166394,1.1828665568369028
Goregaon West,15214745.098039215,17919.736928104576,852.15522875817,18.959150326797385,1.2875816993464053
Goregaon East,14024850.533807829,16249.5871886121,867.6227758007118,10.249110320284698,1.2135231316725978
Vikhroli,13998475.279106857,16979.15470494418,821.7272727272727,33.961722488038276,1.1929824561403508
Malad West,13382824.476650564,16397.665056360707,819.0998389694042,15.22866344605475,1.1658615136876007
